cgi_id,lon_gz,lat_gz
36187,50435.3292023,22222.4475189
36186,50435.3292023,22222.4475189
805,35476.4281204,21045.3847603
84314,38958.4985439,26379.2384825
35482,34914.6090545,27701.4240799
20659,34914.6090545,27701.4240799
99791,38815.5968728,39488.6837807
25868,38815.5968728,39488.6837807
58730,35277.2690212,31091.7140466
17911,46745.9837252,24560.9131358
97422,61019.0243268,33579.2016897
96165,40733.5152663,53864.6433743
72353,57733.6493914,59647.0840097
11281,31170.8727689,32247.6542054
10589,31170.8727689,32247.6542054
109017,41605.6649714,22942.7822234
57982,56122.7463575,57466.0835972
5746,47823.8444572,31021.7724962
92808,33447.1470241,26395.7555836
21838,34402.8698784,38249.2008784
4072,91019.5593382,43872.5365026
22896,46037.6654589,29875.2360186
32141,46020.2441645,29868.5679359
18807,46037.6654589,29875.2360186
48527,45760.474386,14649.3921916
27899,45747.1518895,14653.8070545
17270,51923.8469426,7402.00171533
90890,62456.7331987,32914.6242349
91992,62456.7331987,32914.6242349
50896,62456.7331987,32914.6242349
107527,34238.8424386,39981.5880592
18497,44528.3307483,24423.0477415
85809,44528.3307483,24423.0477415
85808,44523.2071164,24413.0713342
55122,44523.2071164,24413.0713342
38068,40066.5318547,19775.9340564
106308,48558.7283058,27986.2119627
43018,60538.3629283,34508.0514787
87662,48287.2116954,26423.8917186
6365,55849.1397775,57066.9432552
909,55849.1397775,57066.9432552
52001,38191.185948,54334.1156785
114190,38191.185948,54334.1156785
115690,46681.9871689,8268.52579898
17367,41303.0473531,28716.4495177
60211,37719.1816831,36142.9151162
32673,31823.4819381,37595.7690165
27003,35732.3322572,29536.9299793
36667,35732.3322572,29536.9299793
93017,37650.7519192,29472.8107834
44553,33839.5688641,28553.1085742
68206,38823.4612195,19589.4109896
53061,42113.1748244,45665.341998
6247,34999.5734881,30397.8958093
91664,34807.0615083,26088.3460836
92970,73961.7499196,46350.1716457
76464,73876.6899624,46405.4571632
92533,73685.0526476,46420.7316759
18526,45386.9108727,30144.7408657
24656,45386.9108727,30144.7408657
73252,41668.4941773,43341.7561135
75950,46094.0477907,29340.2411054
11615,46919.1569528,25057.4163036
17830,46919.1569528,25057.4163036
48587,36366.8197477,25533.0356245
69957,85173.0251549,46034.8811091
51945,45641.6912364,11966.1725779
33632,44827.3640558,30386.6625415
3949,47286.8752153,30339.8225981
60187,45068.5668166,34322.059456
76095,45068.5668166,34322.059456
60186,45068.5668166,34322.059456
96419,68299.8314799,50022.8854154
75787,68378.4350441,49972.7986207
112235,68189.9767608,49925.7082892
36403,68469.7677626,49297.9322579
61325,55849.1397775,57066.9432552
6367,55849.1397775,57066.9432552
16589,55901.4321947,56264.965266
100576,90064.4465976,43964.8650453
73151,90064.4465976,43964.8650453
113692,44849.4300634,14678.1873714
58769,45514.1562308,25227.404303
113530,45044.6296822,30128.8127735
100446,42615.3172827,45878.6529013
49851,36313.047567,39441.3086507
109701,35591.6311155,38298.2911544
107022,35591.6311155,38298.2911544
114079,35591.6311155,38298.2911544
102749,35378.4450591,39121.1202543
90632,35179.6480962,38735.3650021
116087,34847.6029788,39061.7574212
61553,36007.6836295,38716.438345
117335,36314.1297383,37788.4830886
95536,35019.8106708,37851.1506721
85916,35653.1089297,38584.176958
104855,36066.628331,38170.4794196
94572,36467.8470779,37846.2764835
12456,35187.8463071,38739.8062089
91359,36639.0092083,37233.876577
105097,36070.336646,37621.6833962
109743,36656.4176585,37610.5474457
85552,87025.1314881,99369.9503575
66931,36656.4176585,37610.5474457
66930,36656.4176585,37610.5474457
119373,35078.2158287,38087.1820375
86459,36313.047567,39441.3086507
102253,35378.484976,37971.2313565
78646,72558.0597566,38288.1528072
116089,36635.8654476,39232.3309752
109659,36066.628331,38170.4794196
83909,35265.7748809,37469.2632387
25363,35129.4395341,38550.30214
92973,43583.0968055,35149.7563278
95986,43356.6188248,35096.3050365
81168,43356.6188248,35096.3050365
87818,41630.9225713,33379.3292949
81566,58907.8934467,35073.2455143
96989,43900.198833,35459.0004598
49382,43956.0894458,36099.5913614
109494,40319.868596,43183.9064482
13067,44079.0991812,35112.6985377
101186,44689.8632044,35521.1139429
97154,43341.2377,35361.0486921
102694,44380.3326334,36739.3071423
100532,57332.9496989,59779.5286441
111960,43048.177078,34470.0245242
97700,42862.7151096,33719.8217579
93962,42862.7151096,33719.8217579
64934,43405.7806716,35912.8085245
105646,43928.4040057,36559.2914913
65016,44420.3112368,36405.9104422
68451,43051.2511186,34479.9984226
84534,44101.5886545,36726.7802056
115536,44152.8791956,35264.5564695
63498,44152.8791956,35264.5564695
62713,44152.8791956,35264.5564695
100549,42913.9393533,34167.4327616
65015,44718.5122958,36822.8055758
